# WARNCELLID;NAME;KURZNAME;KENNUNG (SIGN)
106433000;Kreis Groß-Gerau;Groß-Gerau;GGX
106434000;Hochtaunuskreis;Hochtaunuskreis;HGX
106435000;Main-Kinzig-Kreis und Stadt Hanau;HU/Main-Kinzig;HUX
106436000;Main-Taunus-Kreis;Main-Taunus-Kr.;MTK
106437000;Odenwaldkreis;Odenwaldkreis;ERB
106438000;Kreis Offenbach;Kr. Offenbach;
106439000;Rheingau-Taunus-Kreis;Rheingau-Taunus;RUD
106440000;Wetteraukreis;Wetteraukreis;FBX
106531000;Kreis Gießen;Gießen;GIX
106532000;Lahn-Dill-Kreis;Lahn-Dill-Kreis;LDK
106533000;Kreis Limburg-Weilburg;Limburg-Weilb.;LMX
106534000;Kreis Marburg-Biedenkopf;Marburg-Biedenk;MRX
106535000;Vogelsbergkreis;Vogelsbergkreis;VBX
106611000;Stadt Kassel;Kassel;
106631000;Kreis Fulda;Fulda;FDX
106632000;Kreis Hersfeld-Rotenburg;Hersfeld-Rotenb;HEF
106633000;Kreis Kassel;Kr. Kassel;
106634000;Schwalm-Eder-Kreis;Schwalm-Eder-Kr;HRX
106635000;Kreis Waldeck-Frankenberg;Waldeck-Frank.;KBX
106636000;Werra-Meissner-Kreis;Werra-Meissner;ESW
107111000;Stadt Koblenz;Koblenz;KOX
107131000;Kreis Ahrweiler;Ahrweiler;AWX
107132000;Kreis Altenkirchen;Altenkirchen;AKX
107133000;Kreis Bad Kreuznach;Bad Kreuznach;KHX
107134000;Kreis Birkenfeld;Birkenfeld;BIR
107135000;Kreis Cochem-Zell;Cochem-Zell;COC
107137000;Kreis Mayen-Koblenz;Mayen-Koblenz;MYK
107138000;Kreis Neuwied;Neuwied;NRX
107140000;Rhein-Hunsrück-Kreis;Rhein-Hunsrück;SIM
107141000;Rhein-Lahn-Kreis;Rhein-Lahn-Kr.;EMS
107143000;Westerwaldkreis;Westerwaldkreis;WWX
107211000;Stadt Trier;St. Trier;
107231000;Kreis Bernkastel-Wittlich;Bernk.-Wittlich;WIL
107232000;Eifelkreis Bitburg-Prüm;Eifelkreis;BIT
107233000;Kreis Vulkaneifel;Vulkaneifel;DAU
107235000;Kreis Trier-Saarburg;Trier-Saarburg;
107311000;Stadt Frankenthal;Frankenthal;FTX
107312000;Stadt Kaiserslautern;Kaiserslautern;
107313000;Stadt Landau in der Pfalz;Landau i.d.Pf.;LDX
107314000;Stadt Ludwigshafen;Ludwigshafen;
107315000;Stadt Mainz;St. Mainz;
107316000;Stadt Neustadt an der Weinstraße;Neustadt a.d.W.;NWX
107317000;Stadt Pirmasens;Pirmasens;
107318000;Stadt Speyer;Speyer;SPX
107319000;Stadt Worms;Worms;WOX
107320000;Stadt Zweibrücken;Zweibrücken;ZWX
107331000;Kreis Alzey-Worms;Alzey-Worms;AZX
107332000;Kreis Bad Dürkheim;Bad Dürkheim;DUW
107333000;Donnersbergkreis;Donnersbergkr.;KIB
107334000;Kreis Germersheim;Germersheim;GER
107335000;Kreis Kaiserslautern;Kr. Kaisersl.;
107336000;Kreis Kusel;Kusel;KUS
107337000;Kreis Südliche Weinstraße;Südl. Weinstr.;SUW
107338000;Rhein-Pfalz-Kreis;Rhein-Pfalz-Kr.;
107339000;Kreis Mainz-Bingen;Mainz-Bingen;
107340000;Kreis Südwestpfalz;Südwestpfalz;
108111000;Stadt Stuttgart;Stuttgart;SXX
108115000;Kreis Böblingen;Böblingen;BBX
108116000;Kreis Esslingen;Esslingen;ESX
108117000;Kreis Göppingen;Göppingen;GPX
108118000;Kreis Ludwigsburg;Ludwigsburg;LBX
108119000;Rems-Murr-Kreis;Rems-Murr-Kreis;WNX
108121000;Stadt Heilbronn;St. Heilbronn;
108125000;Kreis Heilbronn;Kr. Heilbronn;
108126000;Hohenlohekreis;Hohenlohekreis;KUN
108127000;Kreis Schwäbisch Hall;Schwäbisch Hall;SHA
108128000;Main-Tauber-Kreis;Main-Tauber-Kr.;TBB
108135000;Kreis Heidenheim;Heidenheim;HDH
108136000;Ostalbkreis;Ostalbkreis;AAX
108211000;Stadt Baden-Baden;Baden-Baden;BAD
108212000;Stadt Karlsruhe;St. Karlsruhe;
108215000;Kreis Karlsruhe;Kr. Karlsruhe;
108216000;Kreis Rastatt;Rastatt;RAX
108221000;Stadt Heidelberg;St. Heidelberg;
108222000;Stadt Mannheim;Mannheim;MAX
108225000;Neckar-Odenwald-Kreis;Neckar-Odenwald;MOS
108226000;Rhein-Neckar-Kreis;Rhein-Neckar;
108231000;Stadt Pforzheim;Pforzheim;
108235000;Kreis Calw;Calw;CWX
108236000;Enzkreis;Enzkreis;
108237000;Kreis Freudenstadt;Freudenstadt;FDS
108311000;Stadt Freiburg im Breisgau;St. Freiburg;
108315000;Kreis Breisgau-Hochschwarzwald;Breisgau;
108316000;Kreis Emmendingen;Emmendingen;EMX
108317000;Ortenaukreis;Ortenaukreis;OGX
108325000;Kreis Rottweil;Rottweil;RWX
108326000;Schwarzwald-Baar-Kreis;Schwarzw.-Baar;VSX
108327000;Kreis Tuttlingen;Tuttlingen;TUT
108335000;Kreis Konstanz;Konstanz;KNX
108336000;Kreis Lörrach;Lörrach;LOE
108337000;Kreis Waldshut;Waldshut;WTX
108415000;Kreis Reutlingen;Reutlingen;RTX
108416000;Kreis Tübingen;Tübingen;TUE
108417000;Zollernalbkreis;Zollernalbkreis;BLX
108421000;Stadt Ulm;St. Ulm;
108425000;Alb-Donau-Kreis;Alb-Donau-Kreis;
108426000;Kreis Biberach;Biberach;BCX
108435000;Bodenseekreis;Bodenseekreis;FNX
108436000;Kreis Ravensburg;Ravensburg;RVX
108437000;Kreis Sigmaringen;Sigmaringen;SIG
109161000;Stadt Ingolstadt;Ingolstadt;INX
109162000;Stadt München;St. München;
109163000;Stadt Rosenheim;Rosenheim;
109171000;Kreis Altötting;Altötting;AOX
109172000;Kreis Berchtesgadener Land;Berchtesg. Land;BGL
109173000;Kreis Bad Tölz-Wolfratshausen;Bad Tölz-Wolfr.;TOL
109174000;Kreis Dachau;Dachau;DAH
109175000;Kreis Ebersberg;Ebersberg;EBE
109176000;Kreis Eichstätt;Eichstätt;EIX
109177000;Kreis Erding;Erding;EDX
109178000;Kreis Freising;Freising;FSX
109179000;Kreis Fürstenfeldbruck;Fürstenfeldbr.;FFB
109180000;Kreis Garmisch-Partenkirchen;Garmisch-Part.;GAP
109181000;Kreis Landsberg am Lech;Landsberg/Lech;LLX
109182000;Kreis Miesbach;Miesbach;MBX
109183000;Kreis Mühldorf a. Inn;Mühldorf a. Inn;MUE
109184000;Kreis München;Kr. München;
109185000;Kreis Neuburg-Schrobenhausen;Neuburg-Schrob.;NDX
109186000;Kreis Pfaffenhofen a.d. Ilm;Pfaffenhofen;PAF
109187000;Kreis Rosenheim;Kr. Rosenheim;
109188000;Kreis Starnberg;Starnberg;STA
109189000;Kreis Traunstein;Traunstein;TSX
109190000;Kreis Weilheim-Schongau;Weilh.-Schongau;WMX
109261000;Stadt Landshut;St. Landshut;
109262000;Stadt Passau;St Passau;
109263000;Stadt Straubing;St. Straubing;
109271000;Kreis Deggendorf;Deggendorf;DEG
109272000;Kreis Freyung-Grafenau;Freyung-Grafen.;FRG
109273000;Kreis Kelheim;Kelheim;KEH
109274000;Kreis Landshut;Kr. Landshut;
109275000;Kreis Passau;Kr. Passau;
109276000;Kreis Regen;Regen;REG
109277000;Kreis Rottal-Inn;;PAN
109278000;Kreis Straubing-Bogen;Straubing-Bogen;
109279000;Kreis Dingolfing-Landau;Dingolfing-Land;DGF
109361000;Stadt Amberg;Amberg;AMX
109362000;Stadt Regensburg;St. Regensburg;
109363000;Stadt Weiden in der Oberpfalz;Weiden i.d.Opf.;WEN
109371000;Kreis Amberg-Sulzbach;Amberg-Sulzbach;ASX
109372000;Kreis Cham;Cham;CHA
109373000;Kreis Neumarkt i.d. OPf.;Neumarkt i.d.OP;NMX
109374000;Kreis Neustadt a.d. Waldnaab;Neustadt a.d.W.;NEW
109375000;Kreis Regensburg;Kr. Regensburg;
109376000;Kreis Schwandorf;Schwandorf;SAD
109377000;Kreis Tirschenreuth;Tirschenreuth;TIR
109461000;Stadt Bamberg;St. Bamberg;
109462000;Stadt Bayreuth;St. Bayreuth;
109463000;Stadt Coburg;St. Coburg;
109464000;Stadt Hof;St. Hof;
109471000;Kreis Bamberg;Kr. Bamberg;
109472000;Kreis Bayreuth;Kr. Bayreuth;
109473000;Kreis Coburg;Kr. Coburg;
109474000;Kreis Forchheim;Forchheim;FOX
109475000;Kreis Hof;Kr. Hof;
109476000;Kreis Kronach;Kronach;KCX
109477000;Kreis Kulmbach;Kulmbach;KUX
109478000;Kreis Lichtenfels;Lichtenfels;LIF
109479000;Kreis Wunsiedel;Wunsiedel;WUN
109561000;Stadt Ansbach;St. Ansbach;
109562000;Stadt Erlangen;Erlangen;ERX
109563000;Stadt Fürth;St. Fürth;
109564000;Stadt Nürnberg;Nürnberg;NXX
109565000;Stadt Schwabach;Schwabach;SCX
109571000;Kreis Ansbach;Kr. Ansbach;
109572000;Kreis Erlangen-Höchstadt;Erl.-Höchstadt;ERH
109573000;Kreis Fürth;Kr. Fürth;
109574000;Kreis Nürnberger Land;Nürnberger Land;LAU
109575000;Kreis Neustadt a.d. Aisch - Bad Windsheim;Neustadt-Windsh;NEA
109576000;Kreis Roth;Roth;RHX
109577000;Kreis Weißenburg-Gunzenhausen;Weißenburg-Gunz;WUG
109661000;Stadt Aschaffenburg;St. Aschaffenb.;
109662000;Stadt Schweinfurt;St. Schweinfurt;
109663000;Stadt Würzburg;St. Würzburg;
109671000;Kreis Aschaffenburg;Kr. Aschaffenb.;
109672000;Kreis Bad Kissingen;Bad Kissingen;KGX
109673000;Kreis Rhön-Grabfeld;Rhön-Grabfeld;NES
109674000;Kreis Haßberge;Haßberge;HAS
109675000;Kreis Kitzingen;Kitzingen;KTX
109676000;Kreis Miltenberg;Miltenberg;MIL
109677000;Kreis Main-Spessart;Main-Spessart;MSP
109678000;Kreis Schweinfurt;Kr. Schweinfurt;
109679000;Kreis Würzburg;Kr. Würzburg;
109761000;Stadt Augsburg;St. Augsburg;
109762000;Stadt Kaufbeuren;Kaufbeuren;KFX
109763000;Stadt Kempten (Allgäu);Kempten/Allgäu;KEX
109764000;Stadt Memmingen;Memmingen;MMX
109771000;Kreis Aichach-Friedberg;Aichach-Friedb;AIC
109772000;Kreis Augsburg;Kr. Augsburg;
109773000;Kreis Dillingen a.d. Donau;Dillingen a.d.D;DLG
109774000;Kreis Günzburg;Günzburg;GZX
109775000;Kreis Neu-Ulm;Neu-Ulm;NUX
109776000;Kreis Lindau;Lindau;LIX
109777000;Kreis Ostallgäu;Ostallgäu;OAL
109778000;Kreis Unterallgäu;Unterallgäu;MNX
109779000;Kreis Donau-Ries;Donau-Ries;DON
109780000;Kreis Oberallgäu;Oberallgäu;OAX
110041000;Regionalverband Saarbrücken;RV Saarbrücken;SBX
110042000;Kreis Merzig-Wadern;Merzig-Wadern;MZG
110043000;Kreis Neunkirchen;Neunkirchen;NKX
110044000;Kreis Saarlouis;Saarlouis;SLS
110045000;Saarpfalz-Kreis;Saarpfalz-Kreis;HOM
110046000;Kreis St. Wendel;St. Wendel;WND
111000000;Berlin;Berlin;BXX
112051000;Stadt Brandenburg;Brandenburg;BRB
112052000;Stadt Cottbus;Cottbus;CBX
112053000;Stadt Frankfurt (Oder);Frankfurt/Oder;FFX
112054000;Stadt Potsdam;Potsdam;PXX
112060000;Kreis Barnim;Barnim;BAR
112061000;Kreis Dahme-Spreewald;Dahme-Spreewald;LDS
112062000;Kreis Elbe-Elster;Elbe-Elster;EEX
112063000;Kreis Havelland;Havelland;HVL
112064000;Kreis Märkisch-Oderland;Märkisch-Oderl.;MOL
112065000;Kreis Oberhavel;Oberhavel;OHV
112066000;Kreis Oberspreewald-Lausitz;Oberspreewald-L;OSL
112067000;Kreis Oder-Spree;Oder-Spree;LOS
112068000;Kreis Ostprignitz-Ruppin;Ostprig.-Ruppin;OPR
112069000;Kreis Potsdam-Mittelmark;Potsdam-Mittelm;PMX
112070000;Kreis Prignitz;Prignitz;PRX
112071000;Kreis Spree-Neiße;Spree-Neiße;SPN
112072000;Kreis Teltow-Fläming;Teltow-Fläming;TFX
112073000;Kreis Uckermark;Uckermark;UMX
113003000;Hansestadt Rostock;Hansest. Rostock;HRO
113004000;Stadt Schwerin;Schwerin;SNX
113071000;Kreis Mecklenburgische Seenplatte;Meckl. Seenpl.;VOX
113072000;Kreis Rostock;Rostock;GDX
113073000;Kreis Vorpommern-Rügen;Vorpomm.-Rügen;VRX
113074000;Kreis Nordwestmecklenburg;Nordwestmeckl.;OWX
113075000;Kreis Vorpommern-Greifswald;V.-Greifswald;VGX
113076000;Kreis Ludwigslust-Parchim;Ludw.-Parchim;LPX
114511000;Stadt Chemnitz;Chemnitz;CXX
114521000;Erzgebirgskreis;Erzgebirgskreis;EKX
114522000;Kreis Mittelsachsen;Mittelsachsen;FGX
114523000;Vogtlandkreis;Vogtlandkreis;VXX
114524000;Kreis Zwickau;Zwickau;ZXX
114612000;Stadt Dresden;Dresden;DDX
114625000;Kreis Bautzen;Bautzen;BZX
114626000;Kreis Görlitz;Görlitz;GRX
114627000;Kreis Meißen;Meißen;MEI
114628000;Kreis Sächsische Schweiz-Osterzgebirge;Sächs. Schweiz;PIR
114713000;Stadt Leipzig;Leipzig (Stadt);LXX
114729000;Kreis Leipzig;Leipzig;LLK
114730000;Kreis Nordsachsen;Nordsachsen;TOX
115001000;Stadt Dessau-Roßlau;Dessau-Roßlau;DEX
115002000;Stadt Halle (Saale);Halle/Saale;HAL
115003000;Stadt Magdeburg;Magdeburg;MDX
115081000;Altmarkkreis Salzwedel;Altmark-Salzw.;SAW
115082000;Kreis Anhalt-Bitterfeld;Anh.-Bitterfeld;ABI
115083000;Kreis Börde;Börde;BOE
115084000;Burgenlandkreis;Burgenland;BLK
