# WARNCELLID;NAME;KURZNAME;KENNUNG (SIGN)
801058042;Gemeinde Dörphof;Dörphof;
801058043;Stadt Eckernförde;Eckernförde;
801058044;Gemeinde Ehndorf;Ehndorf;
801058045;Gemeinde Eisendorf;Eisendorf;
801058046;Gemeinde Ellerdorf;Ellerdorf;
801058047;Gemeinde Elsdorf-Westermühlen;Elsdf.-Westerm.;
801058048;Gemeinde Embühren;Embühren;
801058049;Gemeinde Emkendorf;Emkendorf;
801058050;Gemeinde Felde;Felde;
801058051;Gemeinde Felm;Felm;
801058052;Gemeinde Fleckeby;Fleckeby;
801058053;Gemeinde Flintbek;Flintbek;
801058054;Gemeinde Fockbek;Fockbek;
801058055;Gemeinde Friedrichsgraben;Friedrichsgrab.;
801058056;Gemeinde Friedrichsholm;Friedrichsholm;
801058057;Gemeinde Gammelby;Gammelby;
801058058;Gemeinde Gettorf;Gettorf;
801058059;Gemeinde Gnutz;Gnutz;
801058061;Gemeinde Gokels;Gokels;
801058062;Gemeinde Grauel;Grauel;
801058063;Gemeinde Grevenkrug;Grevenkrug;
801058064;Gemeinde Groß Buchwald;Groß Buchwald;
801058065;Gemeinde Groß Vollstedt;Groß Vollstedt;
801058066;Gemeinde Groß Wittensee;Groß Wittensee;
801058067;Gemeinde Güby;Güby;
801058068;Gemeinde Haale;Haale;
801058069;Gemeinde Haby;Haby;
801058070;Gemeinde Hamdorf;Hamdorf;
801058071;Gemeinde Hamweddel;Hamweddel;
801058072;Gemeinde Hanerau-Hademarschen;Hanerau-Hadem.;
801058073;Gemeinde Haßmoor;Haßmoor;
801058074;Gemeinde Heinkenborstel;Heinkenborstel;
801058075;Gemeinde Hörsten;Hörsten;
801058076;Gemeinde Hoffeld;Hoffeld / SH;
801058077;Gemeinde Hohenwestedt;Hohenwestedt;
801058078;Gemeinde Hohn;Hohn;
801058080;Gemeinde Holtsee;Holtsee;
801058081;Gemeinde Holzbunge;Holzbunge;
801058082;Gemeinde Holzdorf;Holzdorf;
801058083;Gemeinde Hütten;Hütten;
801058084;Gemeinde Hummelfeld;Hummelfeld;
801058085;Gemeinde Jahrsdorf;Jahrsdorf;
801058086;Gemeinde Jevenstedt;Jevenstedt;
801058087;Gemeinde Karby;Karby;
801058088;Gemeinde Klein Wittensee;Klein Wittensee;
801058089;Gemeinde Königshügel;Königshügel;
801058090;Gemeinde Kosel;Kosel;
801058091;Gemeinde Krogaspe;Krogaspe;
801058092;Gemeinde Kronshagen;Kronshagen;
801058093;Gemeinde Krummwisch;Krummwisch;
801058094;Gemeinde Langwedel;Langwedel (RD);
801058096;Gemeinde Lindau;Lindau;
801058097;Gemeinde Lohe-Föhrden;Lohe-Föhrden;
801058098;Gemeinde Loop;Loop;
801058099;Gemeinde Loose;Loose;
801058100;Gemeinde Lütjenwestedt;Lütjenwestedt;
801058101;Gemeinde Luhnstedt;Luhnstedt;
801058102;Gemeinde Goosefeld;Goosefeld;
801058103;Gemeinde Meezen;Meezen;
801058104;Gemeinde Melsdorf;Melsdorf;
801058105;Gemeinde Mielkendorf;Mielkendorf;
801058106;Gemeinde Mörel;Mörel;
801058107;Gemeinde Molfsee;Molfsee;
801058108;Gemeinde Mühbrook;Mühbrook;
801058109;Gemeinde Negenharrie;Negenharrie;
801058110;Gemeinde Neudorf-Bornstein;Neudorf-Bornst.;
801058111;Gemeinde Neu Duvenstedt;Neu Duvenstedt;
801058112;Gemeinde Neuwittenbek;Neuwittenbek;
801058113;Gemeinde Nienborstel;Nienborstel;
801058115;Gemeinde Nindorf;Nindorf (RD);
801058116;Gemeinde Noer;Noer;
801058117;Stadt Nortorf;Nortorf (RD);
801058118;Gemeinde Nübbel;Nübbel;
801058119;Gemeinde Oldenbüttel;Oldenbüttel;
801058120;Gemeinde Oldenhütten;Oldenhütten;
801058121;Gemeinde Osdorf;Osdorf;
801058122;Gemeinde Ostenfeld (Rendsburg);Ostenfeld (RD);
801058123;Gemeinde Osterby;Osterby (RD);
801058124;Gemeinde Osterrönfeld;Osterrönfeld;
801058125;Gemeinde Osterstedt;Osterstedt;
801058126;Gemeinde Ottendorf;Ottendorf;
801058127;Gemeinde Owschlag;Owschlag;
801058128;Gemeinde Padenstedt;Padenstedt;
801058129;Gemeinde Prinzenmoor;Prinzenmoor;
801058130;Gemeinde Quarnbek;Quarnbek;
801058131;Gemeinde Rade b. Hohenwestedt;Rade/Hohenwest.;
801058132;Gemeinde Rade b. Rendsburg;Rade b. RD;
801058133;Gemeinde Reesdorf;Reesdorf;
801058134;Gemeinde Remmels;Remmels;
801058135;Stadt Rendsburg;Rendsburg;
801058136;Gemeinde Rickert;Rickert;
801058137;Gemeinde Rieseby;Rieseby;
801058138;Gemeinde Rodenbek;Rodenbek;
801058139;Gemeinde Rumohr;Rumohr;
801058140;Gemeinde Schacht-Audorf;Schacht-Audorf;
801058141;Gemeinde Schierensee;Schierensee;
801058142;Gemeinde Schinkel;Schinkel;
801058143;Gemeinde Schmalstede;Schmalstede;
801058144;Gemeinde Schönbek;Schönbek;
801058145;Gemeinde Schönhorst;Schönhorst;
801058146;Gemeinde Schülldorf;Schülldorf;
801058147;Gemeinde Schülp b. Nortorf;Schülp b. Nortf;
801058148;Gemeinde Schülp b. Rendsburg;Schülp b. RD;
801058150;Gemeinde Schwedeneck;Schwedeneck;
801058151;Gemeinde Seefeld;Seefeld;
801058152;Gemeinde Sehestedt;Sehestedt;
801058153;Gemeinde Sören;Sören;
801058154;Gemeinde Sophienhamm;Sophienhamm;
801058155;Gemeinde Stafstedt;Stafstedt;
801058156;Gemeinde Steenfeld;Steenfeld;
801058157;Gemeinde Strande;Strande;
801058158;Gemeinde Tackesdorf;Tackesdorf;
801058159;Gemeinde Tappendorf;Tappendorf;
801058160;Gemeinde Techelsdorf;Techelsdorf;
801058161;Gemeinde Thaden;Thaden;
801058162;Gemeinde Thumby;Thumby;
801058163;Gemeinde Timmaspe;Timmaspe;
801058164;Gemeinde Todenbüttel;Todenbüttel;
801058165;Gemeinde Tüttendorf;Tüttendorf;
801058166;Gemeinde Waabs;Waabs;
801058167;Gemeinde Wapelfeld;Wapelfeld;
801058168;Gemeinde Warder;Warder;
801058169;Gemeinde Wasbek;Wasbek;
801058170;Gemeinde Wattenbek;Wattenbek;
801058171;Gemeinde Westensee;Westensee;
801058172;Gemeinde Westerrönfeld;Westerrönfeld;
801058173;Gemeinde Windeby;Windeby;
801058174;Gemeinde Winnemark;Winnemark;
801058175;Gemeinde Ahlefeld-Bistensee;Ahlefeld-B.see;
801059001;Gemeinde Alt Bennebek;Alt Bennebek;
801059002;Stadt Arnis;Arnis;
801059005;Gemeinde Bergenhusen;Bergenhusen;
801059006;Gemeinde Böel;Böel;
801059008;Gemeinde Böklund;Böklund;
801059009;Gemeinde Börm;Börm;
801059010;Gemeinde Bollingstedt;Bollingstedt;
801059012;Gemeinde Borgwedel;Borgwedel;
801059014;Gemeinde Brebel;Brebel;
801059016;Gemeinde Brodersby;Brodersby (SL);
801059018;Gemeinde Busdorf;Busdorf;
801059019;Gemeinde Dannewerk;Dannewerk;
801059020;Gemeinde Dörpstedt;Dörpstedt;
801059021;Gemeinde Dollrottfeld;Dollrottfeld;
801059023;Gemeinde Ellingstedt;Ellingstedt;
801059024;Gemeinde Erfde;Erfde;
801059026;Gemeinde Fahrdorf;Fahrdorf;
801059032;Gemeinde Geltorf;Geltorf;
801059033;Gemeinde Goltoft;Goltoft;
801059034;Gemeinde Grödersby;Grödersby;
801059035;Gemeinde Groß Rheide;Groß Rheide;
801059037;Gemeinde Havetoft;Havetoft;
801059039;Gemeinde Hollingstedt;Hollingst. (SL);
801059041;Gemeinde Hüsby;Hüsby;
801059042;Gemeinde Idstedt;Idstedt;
801059043;Gemeinde Jagel;Jagel;
801059044;Gemeinde Jübek;Jübek;
801059045;Stadt Kappeln;Kappeln;
801059049;Gemeinde Klappholz;Klappholz;
801059050;Gemeinde Klein Bennebek;Klein Bennebek;
801059051;Gemeinde Klein Rheide;Klein Rheide;
801059053;Gemeinde Kropp;Kropp;
801059055;Gemeinde Loit;Loit;
801059056;Gemeinde Lottorf;Lottorf;
801059057;Gemeinde Lürschau;Lürschau;
801059058;Gemeinde Meggerdorf;Meggerdorf;
801059060;Gemeinde Mohrkirch;Mohrkirch;
801059062;Gemeinde Neuberend;Neuberend;
801059063;Gemeinde Norderbrarup;Norderbrarup;
801059064;Gemeinde Norderstapel;Norderstapel;
801059065;Gemeinde Nottfeld;Nottfeld;
801059067;Gemeinde Oersberg;Oersberg;
801059068;Gemeinde Rabenkirchen-Faulück;Rabenk.-Faulück;
801059070;Gemeinde Rügge;Rügge;
801059072;Gemeinde Saustrup;Saustrup;
801059073;Gemeinde Schaalby;Schaalby;
801059074;Gemeinde Scheggerott;Scheggerott;
801059075;Stadt Schleswig;Schleswig;
801059076;Gemeinde Schnarup-Thumby;Schnarup-Thumby;
801059077;Gemeinde Schuby;Schuby;
801059078;Gemeinde Selk;Selk;
801059079;Gemeinde Silberstedt;Silberstedt;
801059080;Gemeinde Steinfeld;Steinfeld;
801059081;Gemeinde Stolk;Stolk;
801059082;Gemeinde Struxdorf;Struxdorf;
801059083;Gemeinde Süderbrarup;Süderbrarup;
801059084;Gemeinde Süderfahrenstedt;Süderfahrenst.;
801059085;Gemeinde Süderstapel;Süderstapel;
801059086;Gemeinde Taarstedt;Taarstedt;
801059087;Gemeinde Tetenhusen;Tetenhusen;
801059088;Gemeinde Tielen;Tielen;
801059090;Gemeinde Tolk;Tolk;
801059092;Gemeinde Treia;Treia;
801059093;Gemeinde ülsby;ülsby;
801059094;Gemeinde Ulsnis;Ulsnis;
801059095;Gemeinde Wagersrott;Wagersrott;
801059096;Gemeinde Wohlde;Wohlde;
801059097;Gemeinde Twedt;Twedt;
801059098;Gemeinde Nübel;Nübel;
801059101;Gemeinde Tastrup;Tastrup;
801059102;Gemeinde Ahneby;Ahneby;
801059103;Gemeinde Ausacker;Ausacker;
801059105;Gemeinde Böxlund;Böxlund;
801059106;Gemeinde Dollerup;Dollerup;
801059107;Gemeinde Eggebek;Eggebek;
801059109;Gemeinde Esgrus;Esgrus;
801059112;Gemeinde Gelting;Gelting;
801059113;Stadt Glücksburg (Ostsee);Glücksbg/Ostsee;
801059115;Gemeinde Großenwiehe;Großenwiehe;
801059116;Gemeinde Großsolt;Großsolt;
801059118;Gemeinde Grundhof;Grundhof;
801059120;Gemeinde Harrislee;Harrislee;
801059121;Gemeinde Hasselberg;Hasselberg;
801059123;Gemeinde Hörup;Hörup;
801059124;Gemeinde Holt;Holt;
801059126;Gemeinde Hürup;Hürup;
801059127;Gemeinde Husby;Husby;
801059128;Gemeinde Janneby;Janneby;
801059129;Gemeinde Jardelund;Jardelund;
801059131;Gemeinde Jerrishoe;Jerrishoe;
801059132;Gemeinde Jörl;Jörl;
801059136;Gemeinde Kronsgaard;Kronsgaard;
801059137;Gemeinde Langballig;Langballig;
801059138;Gemeinde Langstedt;Langstedt;
801059141;Gemeinde Maasbüll;Maasbüll;
801059142;Gemeinde Maasholm;Maasholm;
801059143;Gemeinde Medelby;Medelby;
801059144;Gemeinde Meyn;Meyn;
801059145;Gemeinde Munkbrarup;Munkbrarup;
801059147;Gemeinde Nieby;Nieby;
801059148;Gemeinde Niesgrau;Niesgrau;
801059149;Gemeinde Nordhackstedt;Nordhackstedt;
801059151;Gemeinde Osterby;Osterby (SL);
801059152;Gemeinde Pommerby;Pommerby;
801059154;Gemeinde Rabel;Rabel;
801059155;Gemeinde Rabenholz;Rabenholz;
801059157;Gemeinde Ringsberg;Ringsberg;
801059158;Gemeinde Schafflund;Schafflund;
801059159;Gemeinde Sieverstedt;Sieverstedt;
801059161;Gemeinde Sörup;Sörup;
801059162;Gemeinde Sollerup;Sollerup;
801059163;Gemeinde Stangheck;Stangheck;
801059164;Gemeinde Steinberg;Steinberg / SH;
801059167;Gemeinde Sterup;Sterup;
801059168;Gemeinde Stoltebüll;Stoltebüll;
801059169;Gemeinde Süderhackstedt;Süderhackstedt;
801059171;Gemeinde Tarp;Tarp;
801059173;Gemeinde Wallsbüll;Wallsbüll;
801059174;Gemeinde Wanderup;Wanderup;
801059176;Gemeinde Wees;Wees;
801059177;Gemeinde Weesby;Weesby;
801059178;Gemeinde Westerholz;Westerholz;
801059179;Gemeinde Lindewitt;Lindewitt;
801059182;Gemeinde Freienwill;Freienwill;
801059183;Gemeinde Handewitt;Handewitt;
801059184;Gemeinde Oeversee;Oeversee;
801059185;Gemeinde Mittelangeln;Mittelangeln;
801059186;Gemeinde Steinbergkirche;Steinbergkirche;
801059187;Gemeinde Boren;Boren;
801060002;Gemeinde Alveslohe;Alveslohe;
801060003;Gemeinde Armstedt;Armstedt;
801060004;Stadt Bad Bramstedt;Bad Bramstedt;
801060005;Stadt Bad Segeberg;Bad Segeberg;
801060006;Gemeinde Bahrenhof;Bahrenhof;
801060007;Gemeinde Bark;Bark;
801060008;Gemeinde Bebensee;Bebensee;
801060009;Gemeinde Bimöhlen;Bimöhlen;
801060010;Gemeinde Blunk;Blunk;
801060011;Gemeinde Boostedt;Boostedt;
801060012;Gemeinde Bornhöved;Bornhöved;
801060013;Gemeinde Borstel;Borstel (SE);
801060014;Gemeindefreies Gebiet Buchholz (Forstgutsbez.);Buchhz (gemfr);
801060015;Gemeinde Bühnsdorf;Bühnsdorf;
801060016;Gemeinde Daldorf;Daldorf;
801060017;Gemeinde Damsdorf;Damsdorf;
801060018;Gemeinde Dreggers;Dreggers;
801060019;Gemeinde Ellerau;Ellerau;
801060020;Gemeinde Fahrenkrug;Fahrenkrug;
801060021;Gemeinde Föhrden-Barl;Föhrden-Barl;
801060022;Gemeinde Fredesdorf;Fredesdorf;
801060023;Gemeinde Fuhlendorf;Fuhlendorf;
801060024;Gemeinde Geschendorf;Geschendorf;
801060025;Gemeinde Glasau;Glasau;
801060026;Gemeinde Gönnebek;Gönnebek;
801060027;Gemeinde Großenaspe;Großenaspe;
801060028;Gemeinde Groß Kummerfeld;Groß Kummerfeld;
801060029;Gemeinde Groß Niendorf;Groß Niendorf;
801060030;Gemeinde Groß Rönnau;Groß Rönnau;
801060031;Gemeinde Hagen;Hagen / SH;
801060033;Gemeinde Hardebek;Hardebek;
801060034;Gemeinde Hartenholm;Hartenholm;
801060035;Gemeinde Hasenkrug;Hasenkrug;
801060036;Gemeinde Hasenmoor;Hasenmoor;
801060037;Gemeinde Heidmoor;Heidmoor;
801060038;Gemeinde Heidmühlen;Heidmühlen;
801060039;Gemeinde Henstedt-Ulzburg;Henstedt-Ulzbg.;
801060040;Gemeinde Hitzhusen;Hitzhusen;
801060041;Gemeinde Högersdorf;Högersdorf;
801060042;Gemeinde Hüttblek;Hüttblek;
801060043;Gemeinde Itzstedt;Itzstedt;
801060044;Stadt Kaltenkirchen;Kaltenkirchen;
801060045;Gemeinde Kattendorf;Kattendorf;
801060046;Gemeinde Kayhude;Kayhude;
801060047;Gemeinde Kisdorf;Kisdorf;
801060048;Gemeinde Klein Gladebrügge;Kl.Gladebrügge;
801060049;Gemeinde Klein Rönnau;Klein Rönnau;
801060050;Gemeinde Krems II;Krems II;
801060051;Gemeinde Kükels;Kükels;
801060052;Gemeinde Latendorf;Latendorf;
801060053;Gemeinde Leezen;Leezen;
801060054;Gemeinde Lentföhrden;Lentföhrden;
801060056;Gemeinde Mönkloh;Mönkloh;
801060057;Gemeinde Mözen;Mözen;
801060058;Gemeinde Nahe;Nahe;
801060059;Gemeinde Negernbötel;Negernbötel;
801060060;Gemeinde Nehms;Nehms;
801060061;Gemeinde Neuengörs;Neuengörs;
801060062;Gemeinde Neversdorf;Neversdorf;
801060063;Stadt Norderstedt;Norderstedt;
801060064;Gemeinde Nützen;Nützen;
801060065;Gemeinde Oering;Oering;
801060066;Gemeinde Oersdorf;Oersdorf;
801060067;Gemeinde Pronstorf;Pronstorf;
801060068;Gemeinde Rickling;Rickling;
801060069;Gemeinde Rohlstorf;Rohlstorf;
801060070;Gemeinde Schackendorf;Schackendorf;
801060071;Gemeinde Schieren;Schieren;
801060072;Gemeinde Schmalensee;Schmalensee;
801060073;Gemeinde Schmalfeld;Schmalfeld;
801060074;Gemeinde Schwissel;Schwissel;
801060075;Gemeinde Seedorf;Seedorf (SE);
801060076;Gemeinde Seth;Seth;
801060077;Gemeinde Sievershütten;Sievershütten;
801060079;Gemeinde Stipsdorf;Stipsdorf;
801060080;Gemeinde Stocksee;Stocksee;
801060081;Gemeinde Strukdorf;Strukdorf;
801060082;Gemeinde Struvenhütten;Struvenhütten;
801060084;Gemeinde Stuvenborn;Stuvenborn;
801060085;Gemeinde Sülfeld;Sülfeld;
801060086;Gemeinde Tarbek;Tarbek;
801060087;Gemeinde Tensfeld;Tensfeld;
801060088;Gemeinde Todesfelde;Todesfelde;
801060089;Gemeinde Trappenkamp;Trappenkamp;
801060090;Gemeinde Travenhorst;Travenhorst;
801060091;Gemeinde Traventhal;Traventhal;
801060092;Stadt Wahlstedt;Wahlstedt;
801060093;Gemeinde Wakendorf I;Wakendorf I;
801060094;Gemeinde Wakendorf II;Wakendorf II;
801060095;Gemeinde Weddelbrook;Weddelbrook;
801060096;Gemeinde Weede;Weede;
801060097;Gemeinde Wensin;Wensin;
801060098;Gemeinde Westerrade;Westerrade;
801060099;Gemeinde Wiemersdorf;Wiemersdorf;
801060100;Gemeinde Winsen;Winsen;
801060101;Gemeinde Wittenborn;Wittenborn;
801061001;Gemeinde Aasbüttel;Aasbüttel;
801061002;Gemeinde Aebtissinwisch;Aebtissinwisch;
801061003;Gemeinde Agethorst;Agethorst;
801061004;Gemeinde Altenmoor;Altenmoor;
801061005;Gemeinde Auufer;Auufer;
801061006;Gemeinde Bahrenfleth;Bahrenfleth;
801061007;Gemeinde Beidenfleth;Beidenfleth;
801061008;Gemeinde Bekdorf;Bekdorf;
801061010;Gemeinde Bekmünde;Bekmünde;
801061011;Gemeinde Besdorf;Besdorf;
801061012;Gemeinde Blomesche Wildnis;Blomsch.Wildnis;
801061013;Gemeinde Bokelrehm;Bokelrehm;
801061014;Gemeinde Bokhorst;Bokhorst;
801061015;Gemeinde Borsfleth;Borsfleth;
801061016;Gemeinde Breitenberg;Breitenberg;
801061017;Gemeinde Breitenburg;Breitenburg;
801061018;Gemeinde Brokdorf;Brokdorf;
801061019;Gemeinde Brokstedt;Brokstedt;
801061020;Gemeinde Büttel;Büttel;
801061021;Gemeinde Christinenthal;Christinenthal;
801061022;Gemeinde Dägeling;Dägeling;
801061023;Gemeinde Dammfleth;Dammfleth;
801061024;Gemeinde Drage;Drage (IZ);
801061025;Gemeinde Ecklak;Ecklak;
801061026;Gemeinde Elskop;Elskop;
801061027;Gemeinde Engelbrechtsche Wildnis;Engelbr.Wildnis;
801061028;Gemeinde Fitzbek;Fitzbek;
801061029;Stadt Glückstadt;Glückstadt;
801061030;Gemeinde Grevenkop;Grevenkop;
801061031;Gemeinde Gribbohm;Gribbohm;
801061033;Gemeinde Hadenfeld;Hadenfeld;
801061034;Gemeinde Heiligenstedten;Heiligenstedten;
801061035;Gemeinde Heiligenstedtenerkamp;Heiligenst.kamp;
801061036;Gemeinde Hennstedt;Hennstedt (IZ);
801061037;Gemeinde Herzhorn;Herzhorn;
801061038;Gemeinde Hingstheide;Hingstheide;
801061039;Gemeinde Hodorf;Hodorf;
801061040;Gemeinde Hohenaspe;Hohenaspe;
801061041;Gemeinde Hohenfelde;Hohenfelde (IZ);
801061042;Gemeinde Hohenlockstedt;Hohenlockstedt;
801061043;Gemeinde Holstenniendorf;Holstenniendorf;
801061044;Gemeinde Horst (Holstein);Horst/Holstein;
801061045;Gemeinde Huje;Huje;
801061046;Stadt Itzehoe;Itzehoe;
801061047;Gemeinde Kaaks;Kaaks;
801061048;Gemeinde Kaisborstel;Kaisborstel;
801061049;Stadt Kellinghusen;Kellinghusen;
801061050;Gemeinde Kiebitzreihe;Kiebitzreihe;
801061052;Gemeinde Kleve;Kleve (IZ);
801061053;Gemeinde Kollmoor;Kollmoor;
801061054;Gemeinde Krempdorf;Krempdorf;
801061055;Stadt Krempe;Krempe;
801061056;Gemeinde Kremperheide;Kremperheide;
801061057;Gemeinde Krempermoor;Krempermoor;
801061058;Gemeinde Kronsmoor;Kronsmoor;
801061059;Gemeinde Krummendiek;Krummendiek;
801061060;Gemeinde Kudensee;Kudensee;
801061061;Gemeinde Lägerdorf;Lägerdorf;
801061062;Gemeinde Landrecht;Landrecht;
801061063;Gemeinde Landscheide;Landscheide;
801061064;Gemeinde Lockstedt;Lockstedt;
801061065;Gemeinde Lohbarbek;Lohbarbek;
801061066;Gemeinde Looft;Looft;
801061067;Gemeinde Mehlbek;Mehlbek;
801061068;Gemeinde Moordiek;Moordiek;
801061070;Gemeinde Moorhusen;Moorhusen;
801061071;Gemeinde Mühlenbarbek;Mühlenbarbek;
801061072;Gemeinde Münsterdorf;Münsterdorf;
801061073;Gemeinde Neuenbrook;Neuenbrook;
801061074;Gemeinde Neuendorf b. Elmshorn;Neuendorf/Elmsh;
801061076;Gemeinde Nienbüttel;Nienbüttel;
801061077;Gemeinde Nortorf;Nortorf (IZ);
801061078;Gemeinde Nutteln;Nutteln;
801061079;Gemeinde Oelixdorf;Oelixdorf;
801061080;Gemeinde Oeschebüttel;Oeschebüttel;
801061081;Gemeinde Oldenborstel;Oldenborstel;
801061082;Gemeinde Oldendorf;Oldendorf (IZ);
801061083;Gemeinde Ottenbüttel;Ottenbüttel;
801061084;Gemeinde Peissen;Peissen;
801061085;Gemeinde Pöschendorf;Pöschendorf;
801061086;Gemeinde Poyenberg;Poyenberg;
801061087;Gemeinde Puls;Puls;
801061088;Gemeinde Quarnstedt;Quarnstedt;
801061089;Gemeinde Rade;Rade;
801061091;Gemeinde Reher;Reher;
801061092;Gemeinde Rethwisch;Rethwisch (IZ);
801061093;Gemeinde Rosdorf;Rosdorf (IZ);
801061095;Gemeinde Sankt Margarethen;St. Margarethen;
801061096;Gemeinde Sarlhusen;Sarlhusen;
801061097;Gemeinde Schenefeld;Schenefeld (IZ);
801061098;Gemeinde Schlotfeld;Schlotfeld;
801061100;Gemeinde Silzen;Silzen;
801061101;Gemeinde Sommerland;Sommerland;
801061102;Gemeinde Stördorf;Stördorf;
801061103;Gemeinde Störkathen;Störkathen;
801061104;Gemeinde Süderau;Süderau;
801061105;Gemeinde Vaale;Vaale;
801061106;Gemeinde Vaalermoor;Vaalermoor;
801061107;Gemeinde Wacken;Wacken;
801061108;Gemeinde Warringholz;Warringholz;
801061109;Gemeinde Westermoor;Westermoor;
801061110;Gemeinde Wewelsfleth;Wewelsfleth;
801061111;Gemeinde Wiedenborstel;Wiedenborstel;
801061112;Gemeinde Willenscharen;Willenscharen;
801061113;Stadt Wilster;Wilster;
801061114;Gemeinde Winseldorf;Winseldorf;
801061115;Gemeinde Wittenbergen;Wittenbergen;
801061116;Gemeinde Wrist;Wrist;
801061117;Gemeinde Wulfsmoor;Wulfsmoor;
801061118;Gemeinde Kollmar;Kollmar;
801061119;Gemeinde Neuendorf-Sachsenbande;Neuendf.-Sachs.;
801062001;Stadt Ahrensburg;Ahrensburg;
801062003;Gemeinde Badendorf;Badendorf;
801062004;Stadt Bad Oldesloe;Bad Oldesloe;
801062005;Gemeinde Bargfeld-Stegen;Bargfeld-Stegen;
801062006;Stadt Bargteheide;Bargteheide;
801062008;Gemeinde Barnitz;Barnitz;
801062009;Gemeinde Barsbüttel;Barsbüttel;
801062011;Gemeinde Braak;Braak;
801062014;Gemeinde Delingsdorf;Delingsdorf;
801062016;Gemeinde Elmenhorst;Elmenhorst (OD);
801062018;Stadt Glinde;Glinde;
801062019;Gemeinde Grabau;Grabau (OD);
801062020;Gemeinde Grande;Grande;
801062021;Gemeinde Grönwohld;Grönwohld;
801062022;Gemeinde Großensee;Großensee;
801062023;Gemeinde Großhansdorf;Großhansdorf;
801062025;Gemeinde Hamberge;Hamberge;
801062026;Gemeinde Hamfelde;Hamfelde (OD);
801062027;Gemeinde Hammoor;Hammoor;
801062031;Gemeinde Heidekamp;Heidekamp;
801062032;Gemeinde Heilshoop;Heilshoop;
801062033;Gemeinde Hohenfelde;Hohenfelde (OD);
801062035;Gemeinde Hoisdorf;Hoisdorf;
801062036;Gemeinde Jersbek;Jersbek;
801062039;Gemeinde Klein Wesenberg;Klein Wesenberg;
801062040;Gemeinde Köthel;Köthel (OD);
801062045;Gemeinde Lütjensee;Lütjensee;
801062046;Gemeinde Meddewade;Meddewade;
801062048;Gemeinde Mönkhagen;Mönkhagen;
801062050;Gemeinde Neritz;Neritz;
801062051;Gemeinde Nienwohld;Nienwohld;
801062053;Gemeinde Oststeinbek;Oststeinbek;
801062056;Gemeinde Pölitz;Pölitz;
801062058;Gemeinde Rausdorf;Rausdorf;
801062059;Gemeinde Rehhorst;Rehhorst;
801062060;Stadt Reinbek;Reinbek;
801062061;Stadt Reinfeld (Holstein);Reinfeld/Holst.;
801062062;Gemeinde Rethwisch;Rethwisch (OD);
801062065;Gemeinde Rümpel;Rümpel;
801062069;Gemeinde Siek;Siek;
801062071;Gemeinde Stapelfeld;Stapelfeld;
801062076;Gemeinde Tangstedt;Tangstedt (OD);
801062078;Gemeinde Todendorf;Todendorf;
801062081;Gemeinde Tremsbüttel;Tremsbüttel;
801062082;Gemeinde Trittau;Trittau;
801062083;Gemeinde Westerau;Westerau;
801062086;Gemeinde Witzhave;Witzhave;
801062087;Gemeinde Zarpen;Zarpen;
801062088;Gemeinde Brunsbek;Brunsbek;
801062089;Gemeinde Lasbek;Lasbek;
801062090;Gemeinde Ammersbek;Ammersbek;
801062091;Gemeinde Steinburg;Steinburg;
801062092;Gemeinde Travenbrück;Travenbrück;
801062093;Gemeinde Feldhorst;Feldhorst;
801062094;Gemeinde Wesenberg;Wesenberg / SH;
802000000;Stadt Hamburg;Hamburg;
803101000;Stadt Braunschweig;Braunschweig;
803102000;Stadt Salzgitter;Salzgitter;
803103000;Stadt Wolfsburg;Wolfsburg;
803151001;Gemeinde Adenbüttel;Adenbüttel;
803151002;Gemeinde Barwedel;Barwedel;
803151003;Gemeinde Bergfeld;Bergfeld;
803151004;Gemeinde Bokensdorf;Bokensdorf;
803151005;Gemeinde Brome;Brome;
803151006;Gemeinde Calberlah;Calberlah;
803151007;Gemeinde Dedelstorf;Dedelstorf;
803151008;Gemeinde Ehra-Lessien;Ehra-Lessien;
803151009;Stadt Gifhorn;Gifhorn;
803151010;Gemeinde Groß Oesingen;Groß Oesingen;
803151011;Gemeinde Hankensbüttel;Hankensbüttel;
803151012;Gemeinde Hillerse;Hillerse;
803151013;Gemeinde Isenbüttel;Isenbüttel;
803151014;Gemeinde Jembke;Jembke;
803151015;Gemeinde Leiferde;Leiferde;
803151016;Gemeinde Meine;Meine;
803151017;Gemeinde Meinersen;Meinersen;
803151018;Gemeinde Müden (Aller);Müden (Aller);
803151019;Gemeinde Obernholz;Obernholz;
803151020;Gemeinde Osloß;Osloß;
803151021;Gemeinde Parsau;Parsau;
803151022;Gemeinde Ribbesbüttel;Ribbesbüttel;
803151023;Gemeinde Rötgesbüttel;Rötgesbüttel;
803151024;Gemeinde Rühen;Rühen;
803151025;Gemeinde Sassenburg;Sassenburg;
803151026;Gemeinde Schönewörde;Schönewörde;
803151027;Gemeinde Schwülper;Schwülper;
803151028;Gemeinde Sprakensehl;Sprakensehl;
803151029;Gemeinde Steinhorst;Steinhorst (GF);
803151030;Gemeinde Tappenbeck;Tappenbeck;
803151031;Gemeinde Tiddische;Tiddische;
803151032;Gemeinde Tülau;Tülau;
803151033;Gemeinde Ummern;Ummern;
803151034;Gemeinde Vordorf;Vordorf;
803151035;Gemeinde Wagenhoff;Wagenhoff;
803151036;Gemeinde Wahrenholz;Wahrenholz;
