WARNCELLID,NAME,TYPED_NAME,STATE
807336002,Albessen,Gemeinde Albessen,RP
807331001,Albig,Gemeinde Albig,RP
807333001,Albisheim (Pfrimm),Gemeinde Albisheim (Pfrimm),RP
801053001,Albsfelde,Gemeinde Albsfelde,SH
808417079,Albstadt,Stadt Albstadt,BW
805358004,Aldenhoven,Gemeinde Aldenhoven,NR
809275114,Aldersbach,Gemeinde Aldersbach,BY
808327002,Aldingen,Gemeinde Aldingen,BW
809779111,Alerheim,Gemeinde Alerheim,BY
809577113,Alesheim,Gemeinde Alesheim,BY
809774111,Aletshausen,Gemeinde Aletshausen,BY
807135001,Alf,Gemeinde Alf,RP
808119001,Alfdorf,Gemeinde Alfdorf,BW
809574111,Alfeld,Gemeinde Alfeld,BY
809576113,Allersberg,Gemeinde Allersberg,BY
809178113,Allershausen,Gemeinde Allershausen,BY
808426005,Alleshausen,Gemeinde Alleshausen,BW
809179113,Alling,Gemeinde Alling,BY
805334004,Alsdorf,Stadt Alsdorf,NR
807132002,Alsdorf,Gemeinde Alsdorf,RP
807232002,Alsdorf,Gemeinde Alsdorf,RP
807333003,Alsenz,Gemeinde Alsenz,RP
806535001,Alsfeld,Stadt Alsfeld,HE
807331002,Alsheim,Gemeinde Alsheim,RP
815089005,Alsleben (Saale),Stadt Alsleben (Saale),SA
801059001,Alt Bennebek,Gemeinde Alt Bennebek,SH
813072002,Alt Bukow,Gemeinde Alt Bukow,MV
801058003,Alt Duvenstedt,Gemeinde Alt Duvenstedt,SH
813076001,Alt Krenzlin,Gemeinde Alt Krenzlin,MV
809772114,Allmannshofen,Gemeinde Allmannshofen,BY
808426006,Allmannsweiler,Gemeinde Allmannsweiler,BW
808425002,Allmendingen,Gemeinde Allmendingen,BW
808119003,Allmersbach im Tal,Gemeinde Allmersbach im Tal,BW
815087015,Allstedt,Stadt Allstedt,SA
801054006,Almdorf,Gemeinde Almdorf,SH
807132001,Almersbach,Gemeinde Almersbach,RP
803254004,Almstedt,Gemeinde Almstedt,NS
805170004,Alpen,Gemeinde Alpen,NR
807143202,Alpenrod,Gemeinde Alpenrod,RP
816068001,Alperstedt,Gemeinde Alperstedt,TH
808237002,Alpirsbach,Stadt Alpirsbach,BW
807143001,Alsbach,Gemeinde Alsbach,RP
806432001,Alsbach-Hähnlein,Gemeinde Alsbach-Hähnlein,HE
807137201,Alken,Gemeinde Alken,RP
816070001,Alkersleben,Gemeinde Alkersleben,TH
801054005,Alkersum,Gemeinde Alkersum,SH
807134003,Allenbach,Gemeinde Allenbach,RP
807141001,Allendorf,Gemeinde Allendorf,RP
816073001,Allendorf,Gemeinde Allendorf,TH
806635001,Allendorf (Eder),Gemeinde Allendorf (Eder),HE
806531001,Allendorf (Lumda),Stadt Allendorf (Lumda),HE
807133002,Allenfeld,Gemeinde Allenfeld,RP
808335002,Allensbach,Gemeinde Allensbach,BW
805774004,Altenbeken,Gemeinde Altenbeken,NR
814628010,Altenberg,Stadt Altenberg,SN
816074002,Altenberga,Gemeinde Altenberga,TH
805566004,Altenberge,Gemeinde Altenberge,NR
816073002,Altenbeuthen,Gemeinde Altenbeuthen,TH
809676111,Altenbuch,Gemeinde Altenbuch,BY
813074001,Alt Meteln,Gemeinde Alt Meteln,MV
801053002,Alt Mölln,Gemeinde Alt Mölln,SH
813071001,Alt Schwerin,Gemeinde Alt Schwerin,MV
813072003,Alt Sührkow,Gemeinde Alt Sührkow,MV
813075002,Alt Tellin,Gemeinde Alt Tellin,MV
812064009,Alt Tucheband,Gemeinde Alt Tucheband,BB
813076002,Alt Zachun,Gemeinde Alt Zachun,MV
812061005,Alt Zauche-Wußwerk,Gemeinde Alt Zauche-Wußwerk,BB
808116004,Altbach,Gemeinde Altbach,BW
812066008,Altdöbern,Gemeinde Altdöbern,BB
807337002,Altdorf,Gemeinde Altdorf,RP
808115002,Altdorf,Gemeinde Altdorf,BW
808116005,Altdorf,Gemeinde Altdorf,BW
809274113,Altdorf,Gemeinde Altdorf,BY
809574112,Altdorf b. Nürnberg,Stadt Altdorf b. Nürnberg,BY
813073003,Altefähr,Gemeinde Altefähr,MV
809375113,Alteglofsheim,Gemeinde Alteglofsheim,BY
805962004,Altena,Stadt Altena,NR
807131003,Altenahr,Gemeinde Altenahr,RP
807133003,Altenbamberg,Gemeinde Altenbamberg,RP
813071002,Altenhagen,Gemeinde Altenhagen,MV
815083020,Altenhausen,Gemeinde Altenhausen,SA
801058004,Altenhof,Gemeinde Altenhof,SH
813071003,Altenhof,Gemeinde Altenhof,MV
813073005,Altenpleen,Gemeinde Altenpleen,MV
808116006,Altenriet,Gemeinde Altenriet,BW
806440001,Altenstadt,Gemeinde Altenstadt,HE
809190111,Altenstadt,Gemeinde Altenstadt,BY
809775111,Altenstadt,Gemeinde Altenstadt,BY
809374111,Altenstadt a.d. Waldnaab,Gemeinde Altenstadt a.d. Waldnaab,BY
808235006,Altensteig,Stadt Altensteig,BW
801058005,Altenholz,Gemeinde Altenholz,SH
807336004,Altenkirchen,Gemeinde Altenkirchen,RP
813073004,Altenkirchen,Gemeinde Altenkirchen,MV
807132501,Altenkirchen (Westerwald),Stadt Altenkirchen (Westerwald),RP
801055002,Altenkrempe,Gemeinde Altenkrempe,SH
809478111,Altenkunstadt,Gemeinde Altenkunstadt,BY
809189111,Altenmarkt a.d. Alz,Gemeinde Altenmarkt a.d. Alz,BY
803360001,Altenmedingen,Gemeinde Altenmedingen,NS
801061004,Altenmoor,Gemeinde Altenmoor,SH
809772115,Altenmünster,Gemeinde Altenmünster,BY
816077001,Altenburg,Stadt Altenburg,TH
807141002,Altendiez,Gemeinde Altendiez,RP
809376112,Altendorf,Gemeinde Altendorf,BY
